bill_id,bill_number,bill_type,congress,cosponsors_by_party_D,cosponsors_by_party_R,introduced_at,sponsor_SGID,total_cosponser
hr4141-115,4141,hr,115,1,,2017-10-26,593,1
hr678-115,678,hr,115,1,3,2017-01-24,1961,4
hr2876-115,2876,hr,115,63,,2017-06-12,1285,63
hr1599-115,1599,hr,115,,27,2017-03-17,608,27
hr5929-115,5929,hr,115,2,,2018-05-23,1591,2
hr3699-115,3699,hr,115,18,1,2017-09-07,621,19
hr2732-115,2732,hr,115,7,6,2017-05-25,1406,13
hr1475-115,1475,hr,115,81,3,2017-03-09,733,84
hr2692-115,2692,hr,115,1,,2017-05-25,1533,1
hr6290-115,6290,hr,115,,4,2018-06-28,1461,4
hr5876-115,5876,hr,115,,11,2018-05-18,1766,11
hr2429-115,2429,hr,115,4,3,2017-05-16,1957,7
hr2943-115,2943,hr,115,36,7,2017-06-20,1878,43
hr4681-115,4681,hr,115,8,17,2017-12-19,347,25
hr3351-115,3351,hr,115,,1,2017-07-20,1048,1
hr1464-115,1464,hr,115,12,1,2017-03-09,1846,13
hr4636-115,4636,hr,115,21,,2017-12-13,1385,21
hr3932-115,3932,hr,115,,2,2017-10-03,1651,2
hr4604-115,4604,hr,115,5,3,2017-12-07,1582,8
hr5792-115,5792,hr,115,3,3,2018-05-15,1628,6
hr7390-115,7390,hr,115,2,,2018-12-21,593,2
hr4065-115,4065,hr,115,6,,2017-10-12,1191,6
hr5576-115,5576,hr,115,7,6,2018-04-18,1805,13
hr4969-115,4969,hr,115,2,1,2018-02-07,1543,3
hr3935-115,3935,hr,115,,1,2017-10-03,1345,1
hr5782-115,5782,hr,115,5,,2018-05-11,1812,5
hr1543-115,1543,hr,115,1,,2017-03-15,1754,1
hr5093-115,5093,hr,115,1,2,2018-02-26,1942,3
hr702-115,702,hr,115,2,2,2017-01-27,258,4
hr2516-115,2516,hr,115,,2,2017-05-18,2003,2
hr5994-115,5994,hr,115,1,,2018-06-01,1728,1
hr1696-115,1696,hr,115,1,,2017-03-23,1549,1
hr180-115,180,hr,115,,1,2017-01-03,1843,1
hr2278-115,2278,hr,115,1,,2017-05-01,1700,1
hr1146-115,1146,hr,115,18,,2017-02-16,1584,18
hr5856-115,5856,hr,115,1,9,2018-05-16,1705,10
hr181-115,181,hr,115,,1,2017-01-03,1843,1
hr5906-115,5906,hr,115,1,10,2018-05-22,715,11
hr3674-115,3674,hr,115,,1,2017-09-05,1078,1
hr917-115,917,hr,115,1,3,2017-02-07,1793,4
hr1847-115,1847,hr,115,191,98,2017-03-30,1805,289
hr612-115,612,hr,115,,1,2017-01-23,1435,1
hr1960-115,1960,hr,115,96,,2017-04-05,1076,96
hr4878-115,4878,hr,115,4,1,2018-01-25,258,5
hr493-115,493,hr,115,2,,2017-01-12,1366,2
hr6961-115,6961,hr,115,1,3,2018-09-27,1789,4
hr1141-115,1141,hr,115,41,4,2017-02-16,319,45
hr1930-115,1930,hr,115,1,,2017-04-05,1816,1
hr3344-115,3344,hr,115,1,1,2017-07-20,1435,2
hr6713-115,6713,hr,115,3,7,2018-09-06,1628,10
hr6864-115,6864,hr,115,2,,2018-09-24,1786,2
hr6836-115,6836,hr,115,4,1,2018-09-17,1564,5
hr5079-115,5079,hr,115,1,6,2018-02-23,1875,7
hr3214-115,3214,hr,115,74,,2017-07-12,1726,74
hr2480-115,2480,hr,115,12,25,2017-05-17,1735,37
hr6821-115,6821,hr,115,,7,2018-09-13,1980,7
hr5879-115,5879,hr,115,141,81,2018-05-18,1681,222
hr6418-115,6418,hr,115,,1,2018-07-18,1804,1
hr2073-115,2073,hr,115,23,,2017-04-06,1191,23
hr6462-115,6462,hr,115,7,,2018-07-19,1606,7
hr4773-115,4773,hr,115,1,,2018-01-11,1846,1
hr2058-115,2058,hr,115,,3,2017-04-06,1541,3
hr5997-115,5997,hr,115,4,2,2018-06-05,1786,6
hr2815-115,2815,hr,115,7,4,2017-06-07,1651,11
hr3833-115,3833,hr,115,2,2,2017-09-26,1895,4
hr3075-115,3075,hr,115,3,,2017-06-27,1916,3
hr4030-115,4030,hr,115,41,,2017-10-12,1615,41
hr2669-115,2669,hr,115,38,,2017-05-25,99,38
hr1736-115,1736,hr,115,3,5,2017-03-27,1721,8
hr3864-115,3864,hr,115,9,3,2017-09-28,1489,12
hr2147-115,2147,hr,115,33,20,2017-04-26,1628,53
hr821-115,821,hr,115,113,,2017-02-02,284,113
hr4779-115,4779,hr,115,13,3,2018-01-11,1319,16
hr4237-115,4237,hr,115,,2,2017-11-03,1540,2
hr2700-115,2700,hr,115,2,,2017-05-25,1832,2
hr5592-115,5592,hr,115,1,,2018-04-24,1002,1
hr6611-115,6611,hr,115,4,2,2018-07-26,1966,6
